index,url,Size in bytes,Return code,Depth,Time
63,https://en.wikipedia.org/wiki/KOYN,52318,200,1,09-21-2021_05-56-57
64,https://en.wikipedia.org/wiki/Tornado,459741,200,1,09-21-2021_05-56-57
65,https://en.wikipedia.org/wiki/Texas,1080171,200,1,09-21-2021_05-56-57
66,https://en.wikipedia.org/wiki/Equal_Employment_Opportunity_Commission,199444,200,1,09-21-2021_05-56-57
67,https://en.wikipedia.org/wiki/Red_River_County,160643,200,1,09-21-2021_05-56-57
68,https://en.wikipedia.org/wiki/KXII,230479,200,1,09-21-2021_05-56-57
69,"https://en.wikipedia.org/wiki/Atchison,_Topeka_and_Santa_Fe_Railway",287704,200,1,09-21-2021_05-56-57
70,https://en.wikipedia.org/wiki/Texas_State_Police,46814,200,1,09-21-2021_05-56-57
71,https://en.wikipedia.org/wiki/Low-power_broadcasting,142138,200,1,09-21-2021_05-56-57
72,https://en.wikipedia.org/wiki/Sam_Bell_Maxey_House,143176,200,1,09-21-2021_05-56-57
73,https://en.wikipedia.org/wiki/KPLT_(AM),56983,200,1,09-21-2021_05-56-57
74,"https://en.wikipedia.org/wiki/Paris,_France",1296970,200,1,09-21-2021_05-56-57
75,"https://en.wikipedia.org/wiki/Choctaw_County,_Oklahoma",150549,200,1,09-21-2021_05-56-57
76,"https://en.wikipedia.org/wiki/Fannin_County,_Texas",163726,200,1,09-21-2021_05-56-57
77,"https://en.wikipedia.org/wiki/Delta_County,_Texas",159279,200,1,09-21-2021_05-56-57
78,https://en.wikipedia.org/wiki/Ida_B._Wells,710803,200,1,09-21-2021_05-56-57
79,https://en.wikipedia.org/wiki/United_States_Department_of_Education,187464,200,1,09-21-2021_05-56-57
80,https://en.wikipedia.org/wiki/U.S._Supreme_Court,,200,1,09-21-2021_05-56-58
81,https://en.wikipedia.org/wiki/United_States_Census_Bureau,231302,200,1,09-21-2021_05-56-58
82,https://en.wikipedia.org/wiki/KPLT-FM,63683,200,1,09-21-2021_05-56-58
83,https://en.wikipedia.org/wiki/Broadcast_relay_station#Broadcast_translator,161983,200,1,09-21-2021_05-56-58
84,https://en.wikipedia.org/wiki/Sara_Lee_Corporation,139496,200,1,09-21-2021_05-56-58
85,https://en.wikipedia.org/wiki/Harry_Dean_Stanton,125881,200,1,09-21-2021_05-56-58
86,https://en.wikipedia.org/wiki/Sam_Shepard,206781,200,1,09-21-2021_05-56-58
87,https://en.wikipedia.org/wiki/Co-production_(media),54859,200,1,09-21-2021_05-56-58
88,https://en.wikipedia.org/wiki/Hunter_Carson,52693,200,1,09-21-2021_05-56-58
89,https://en.wikipedia.org/wiki/FIPRESCI_Prize,72206,200,1,09-21-2021_05-56-58
90,https://en.wikipedia.org/wiki/Palme_d%27Or,364304,200,1,09-21-2021_05-56-58
91,https://en.wikipedia.org/wiki/Dissociative_fugue,118857,200,1,09-21-2021_05-56-58
92,https://en.wikipedia.org/wiki/Anatole_Dauman,41623,200,1,09-21-2021_05-56-58
93,https://en.wikipedia.org/wiki/L._M._Kit_Carson,55848,200,1,09-21-2021_05-56-58
94,https://en.wikipedia.org/wiki/Road_movie,265430,200,1,09-21-2021_05-56-58
95,https://en.wikipedia.org/wiki/Wim_Wenders,241617,200,1,09-21-2021_05-56-58
96,https://en.wikipedia.org/wiki/Nastassja_Kinski,138720,200,1,09-21-2021_05-56-58
97,https://en.wikipedia.org/wiki/Aurore_Cl%C3%A9ment,70748,200,1,09-21-2021_05-56-58
98,https://en.wikipedia.org/wiki/1984_Cannes_Film_Festival,105550,200,1,09-21-2021_05-56-58
99,https://en.wikipedia.org/wiki/Don_Guest,38350,200,1,09-21-2021_05-56-58
100,https://en.wikipedia.org/wiki/Dean_Stockwell,171729,200,1,09-21-2021_05-56-58
101,https://en.wikipedia.org/wiki/Prize_of_the_Ecumenical_Jury,161594,200,1,09-21-2021_05-56-58
102,https://en.wikipedia.org/wiki/Peter_Przygodda,51007,200,1,09-21-2021_05-56-58
103,https://en.wikipedia.org/wiki/United_States,1392089,200,1,09-21-2021_05-56-58
104,https://en.wikipedia.org/wiki/20th_Century_Fox,528074,200,1,09-21-2021_05-56-58
105,https://en.wikipedia.org/wiki/Ry_Cooder,199851,200,1,09-21-2021_05-56-58
106,https://en.wikipedia.org/wiki/American_Southwest,701584,200,1,09-21-2021_05-56-58
107,https://en.wikipedia.org/wiki/Robby_M%C3%BCller,83051,200,1,09-21-2021_05-56-58
108,https://en.wikipedia.org/wiki/West_Texas,111263,200,1,09-21-2021_05-56-58
109,https://en.wikipedia.org/wiki/Fugue_state,118531,200,1,09-21-2021_05-56-58
110,"https://en.wikipedia.org/wiki/Terlingua,_Texas",111891,200,1,09-21-2021_05-56-59
111,https://en.wikipedia.org/wiki/Muteness,113541,200,1,09-21-2021_05-56-59
112,https://en.wikipedia.org/wiki/Home_movies,85593,200,1,09-21-2021_05-56-59
113,https://en.wikipedia.org/wiki/Le_M%C3%A9ridien,116495,200,1,09-21-2021_05-56-59
114,https://en.wikipedia.org/wiki/Peep-show,77188,200,1,09-21-2021_05-56-59
115,https://en.wikipedia.org/wiki/Maternity_blues,121275,200,1,09-21-2021_05-56-59
116,https://en.wikipedia.org/wiki/Walkie-talkie,138702,200,1,09-21-2021_05-56-59
117,https://en.wikipedia.org/wiki/Bernhard_Wicki,90896,200,1,09-21-2021_05-56-59
118,https://en.wikipedia.org/wiki/Mydolls,68498,200,1,09-21-2021_05-56-59
119,https://en.wikipedia.org/wiki/Age_disparity_in_sexual_relationships,224533,200,1,09-21-2021_05-56-59
120,https://en.wikipedia.org/wiki/Location_scouting,79495,200,1,09-21-2021_05-56-59
121,https://en.wikipedia.org/wiki/Hammett_(film),81999,200,1,09-21-2021_05-56-59
122,https://en.wikipedia.org/wiki/Alice_in_the_Cities,76753,200,1,09-21-2021_05-56-59
123,https://en.wikipedia.org/wiki/John_Lurie,123640,200,1,09-21-2021_05-56-59
124,https://en.wikipedia.org/wiki/Claire_Denis,120076,200,1,09-21-2021_05-56-59
125,https://en.wikipedia.org/wiki/Repo_Man_(film),96468,200,1,09-21-2021_05-56-59
126,"https://en.wikipedia.org/wiki/Marathon,_Texas",94365,200,1,09-21-2021_05-57-00
127,https://en.wikipedia.org/wiki/Fort_Stockton,148676,200,1,09-21-2021_05-57-00
128,https://en.wikipedia.org/wiki/Trans-Pecos,78367,200,1,09-21-2021_05-57-00
129,https://en.wikipedia.org/wiki/Peep_show,76901,200,1,09-21-2021_05-57-00
130,https://en.wikipedia.org/wiki/Karen_Black,228456,200,1,09-21-2021_05-57-00
131,https://en.wikipedia.org/wiki/Big_Bang,622582,200,1,09-21-2021_05-57-00
132,https://en.wikipedia.org/wiki/Thomas_Elsaesser,77433,200,1,09-21-2021_05-57-02
133,"https://en.wikipedia.org/wiki/Corpus_Christi,_Texas",373773,200,1,09-21-2021_05-57-02
134,https://en.wikipedia.org/wiki/Paris,1296652,200,1,09-21-2021_05-57-02
135,https://en.wikipedia.org/wiki/Tragedy,272272,200,1,09-21-2021_05-57-02
136,https://en.wikipedia.org/wiki/Alcoholism,576873,200,1,09-21-2021_05-57-02
137,https://en.wikipedia.org/wiki/Las_Vegas,445726,200,1,09-21-2021_05-57-02
138,https://en.wikipedia.org/wiki/Cool_Hand_Luke,225606,200,1,09-21-2021_05-57-02
139,https://en.wikipedia.org/wiki/Mise-en-sc%C3%A8ne,78174,200,1,09-21-2021_05-57-02
140,https://en.wikipedia.org/wiki/Ford_Ranchero,163671,200,1,09-21-2021_05-57-02
141,https://en.wikipedia.org/wiki/Allison_Anders,160145,200,1,09-21-2021_05-57-02
142,https://en.wikipedia.org/wiki/Jean-Louis_Comolli,49993,200,1,09-21-2021_05-57-02
143,https://en.wikipedia.org/wiki/Viva_(actress),,200,1,09-21-2021_05-57-02
144,https://en.wikipedia.org/wiki/Houston,954661,200,1,09-21-2021_05-57-02
145,https://en.wikipedia.org/wiki/History_of_Earth,622824,200,1,09-21-2021_05-57-02
146,https://en.wikipedia.org/wiki/Western_film,394695,200,1,09-21-2021_05-57-02
147,https://en.wikipedia.org/wiki/John_Ford,,200,1,09-21-2021_05-57-02
148,https://en.wikipedia.org/wiki/Identity_(social_science),175221,200,1,09-21-2021_05-57-02
149,https://en.wikipedia.org/wiki/Storyboard,123172,200,1,09-21-2021_05-57-02
150,https://en.wikipedia.org/wiki/Oedipal_complex,192361,200,1,09-21-2021_05-57-02
151,https://en.wikipedia.org/wiki/The_Guardian,681361,200,1,09-21-2021_05-57-02
152,https://en.wikipedia.org/wiki/The_Searchers,223303,200,1,09-21-2021_05-57-02
153,https://en.wikipedia.org/wiki/Road_Movie_trilogy,55097,200,1,09-21-2021_05-57-02
154,https://en.wikipedia.org/wiki/Senses_of_Cinema,44611,200,1,09-21-2021_05-57-02
155,https://en.wikipedia.org/wiki/Emanuel_Levy,59735,200,1,09-21-2021_05-57-02
156,"https://en.wikipedia.org/wiki/Dark_Was_the_Night,_Cold_Was_the_Ground",89098,200,1,09-21-2021_05-57-02
157,https://en.wikipedia.org/wiki/E%E2%99%AD_(musical_note),73970,200,1,09-21-2021_05-57-02
158,https://en.wikipedia.org/wiki/Blind_Willie_Johnson,160068,200,1,09-21-2021_05-57-02
159,https://en.wikipedia.org/wiki/Screen_International,87204,200,1,09-21-2021_05-57-02
160,https://en.wikipedia.org/wiki/Emanuel_Levy,59735,200,1,09-21-2021_05-57-02
161,https://en.wikipedia.org/wiki/Edward_Hopper,229316,200,1,09-21-2021_05-57-02
162,https://en.wikipedia.org/wiki/Blind_Willie_Johnson,160068,200,1,09-21-2021_05-57-03
163,https://en.wikipedia.org/wiki/Steve_McQueen_(director),276978,200,1,09-21-2021_05-57-03
164,"https://en.wikipedia.org/wiki/Dark_Was_the_Night,_Cold_Was_the_Ground",89098,200,1,09-21-2021_05-57-03
165,https://en.wikipedia.org/wiki/E%E2%99%AD_(musical_note),73970,200,1,09-21-2021_05-57-03
166,https://en.wikipedia.org/wiki/Edward_Ruscha,203619,200,1,09-21-2021_05-57-03
167,https://en.wikipedia.org/wiki/Screen_International,87204,200,1,09-21-2021_05-57-03
168,https://en.wikipedia.org/wiki/2014_Cannes_Film_Festival,221769,200,1,09-21-2021_05-57-03
169,https://en.wikipedia.org/wiki/Edward_Hopper,229316,200,1,09-21-2021_05-57-03
170,https://en.wikipedia.org/wiki/BBC_Radio_4,240314,200,1,09-21-2021_05-57-03
171,https://en.wikipedia.org/wiki/Edward_Ruscha,203619,200,1,09-21-2021_05-57-03
172,https://en.wikipedia.org/wiki/2014_Cannes_Film_Festival,221769,200,1,09-21-2021_05-57-03
173,https://en.wikipedia.org/wiki/West_Germany,478506,200,1,09-21-2021_05-57-03
174,https://www.paristexas.gov/MyAccount,78519,200,1,09-21-2021_05-57-03
175,https://en.wikipedia.org/wiki/Steve_McQueen_(director),276978,200,1,09-21-2021_05-57-04
176,https://www.paristexas.gov/234/Public-Notifications,86763,200,1,09-21-2021_05-57-04
177,https://en.wikipedia.org/wiki/Sundance_Film_Festival,208922,200,1,09-21-2021_05-57-04
178,https://www.paristexas.gov/MyAccount/ProfileCreate,95895,200,1,09-21-2021_05-57-04
179,https://en.wikipedia.org/wiki/BBC_Radio_4,240314,200,1,09-21-2021_05-57-04
180,https://www.paristexas.gov/covidvaccinelist,,200,1,09-21-2021_05-57-04
181,https://www.paristexas.gov/435,80565,200,1,09-21-2021_05-57-04
182,https://www.paristexas.gov/416/Government,84053,200,1,09-21-2021_05-57-04
183,https://www.paristexas.gov/285/Laserfiche,80614,200,1,09-21-2021_05-57-04
184,https://www.paristexas.gov/8/Departments,90579,200,1,09-21-2021_05-57-04
185,https://en.wikipedia.org/wiki/Sean_Penn,,200,1,09-21-2021_05-57-05
